0.0300,0.0006, 0.0250, 0.0000, 0.0000, 0.0000, 0.0000, -0.8700, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.3000, 0.0000
0.0600,0.0006, 0.0250, 0.0000, 0.0012, 0.0018, 0.0775, -0.7420, 0.0811, -0.8700, 0.0000, -0.0435, 0.0000, 0.0000, -0.8700, 0.0000, 0.2565, 0.0000
0.0900,0.0025, 0.0499, 0.0001, 0.0034, 0.0072, 0.1511, -0.7549, 0.1496, -0.7408, 0.3036, -0.0371, -0.0004, 0.0143, -0.7407, -0.0100, 0.2629, 0.0039
0.1200,0.0025, 0.0499, 0.0002, 0.0044, 0.0069, 0.1441, -0.7531, 0.1350, -0.7525, 0.5368, -0.0376, -0.0007, 0.0268, -0.7523, -0.0158, 0.2623, 0.0074
0.1500,0.0056, 0.0747, 0.0003, 0.0054, 0.0157, 0.2179, -0.7444, 0.2138, -0.7494, 0.5147, -0.0375, -0.0010, 0.0258, -0.7491, -0.0194, 0.2624, 0.0068
0.1800,0.0100, 0.0993, 0.0005, 0.0065, 0.0153, 0.2148, -0.7456, 0.2022, -0.7387, 0.7762, -0.0369, -0.0011, 0.0388, -0.7383, -0.0238, 0.2629, 0.0106
0.2100,0.0100, 0.0993, 0.0006, 0.0075, 0.0276, 0.2878, -0.7331, 0.2798, -0.7373, 0.7690, -0.0368, -0.0014, 0.0385, -0.7368, -0.0284, 0.2629, 0.0101
0.2400,0.0155, 0.1237, 0.0011, 0.0097, 0.0432, 0.3601, -0.7331, 0.2798, -0.7218, 1.0260, -0.0361, -0.0015, 0.0513, -0.7211, -0.0324, 0.2635, 0.0139
0.2700,0.0155, 0.1237, 0.0013, 0.0107, 0.0420, 0.3533, -0.7180, 0.3472, -0.6943, 1.3079, -0.0348, -0.0021, 0.0647, -0.6929, -0.0444, 0.2646, 0.0173
0.3000,0.0223, 0.1478, 0.0015, 0.0117, 0.0611, 0.4249, -0.7216, 0.3330, -0.6983, 1.2648, -0.0348, -0.0023, 0.0632, -0.6969, -0.0449, 0.2646, 0.0167
0.3300,0.0303, 0.1714, 0.0018, 0.0127, 0.0603, 0.4219, -0.7017, 0.4093, -0.6688, 1.5368, -0.0335, -0.0024, 0.0762, -0.6669, -0.0504, 0.2656, 0.0204
0.3600,0.0303, 0.1714, 0.0021, 0.0137, 0.0826, 0.4921, -0.7048, 0.3980, -0.6722, 1.5031, -0.0335, -0.0026, 0.0752, -0.6702, -0.0510, 0.2656, 0.0200
0.3900,0.0395, 0.1947, 0.0029, 0.0158, 0.1082, 0.5611, -0.6575, 0.5369, -0.6378, 1.7674, -0.0319, -0.0027, 0.0877, -0.6354, -0.0555, 0.2669, 0.0236
0.4200,0.0395, 0.1947, 0.0032, 0.0167, 0.1062, 0.5546, -0.6625, 0.5233, -0.6075, 1.9762, -0.0303, -0.0028, 0.0988, -0.6049, -0.0568, 0.2683, 0.0268
0.4500,0.0498, 0.2175, 0.0036, 0.0177, 0.1350, 0.6223, -0.6326, 0.5956, -0.6083, 1.9515, -0.0303, -0.0030, 0.0976, -0.6054, -0.0593, 0.2683, 0.0263
0.4800,0.0612, 0.2397, 0.0040, 0.0186, 0.1339, 0.6195, -0.6347, 0.5902, -0.5716, 2.1813, -0.0284, -0.0029, 0.1091, -0.5685, -0.0589, 0.2698, 0.0298
0.5100,0.0612, 0.2397, 0.0045, 0.0196, 0.1658, 0.6854, -0.6043, 0.6542, -0.5665, 2.1864, -0.0282, -0.0031, 0.1093, -0.5631, -0.0618, 0.2700, 0.0296
0.5400,0.0737, 0.2613, 0.0055, 0.0215, 0.2008, 0.7495, -0.5686, 0.7194, -0.5293, 2.3873, -0.0263, -0.0030, 0.1194, -0.5259, -0.0604, 0.2716, 0.0328
0.5700,0.0737, 0.2613, 0.0060, 0.0224, 0.1979, 0.7434, -0.5785, 0.7010, -0.4703, 2.6239, -0.0238, -0.0029, 0.1303, -0.4752, -0.0596, 0.2737, 0.0361
0.6000,0.0873, 0.2823, 0.0065, 0.0232, 0.2359, 0.8058, -0.5395, 0.7671, -0.4818, 2.5690, -0.0236, -0.0031, 0.1298, -0.4776, -0.0630, 0.2739, 0.0357
0.6300,0.1020, 0.3026, 0.0071, 0.0241, 0.2344, 0.8032, -0.5441, 0.7586, -0.4286, 2.7803, -0.0217, -0.0029, 0.1383, -0.4329, -0.0581, 0.2755, 0.0385
0.6600,0.1020, 0.3026, 0.0076, 0.0250, 0.2752, 0.8632, -0.5024, 0.8217, -0.4337, 2.7556, -0.0213, -0.0030, 0.1384, -0.4295, -0.0601, 0.2758, 0.0384
0.6900,0.1176, 0.3221, 0.0089, 0.0268, 0.3188, 0.9211, -0.4607, 0.8760, -0.3765, 2.9548, -0.0191, -0.0027, 0.1471, -0.3809, -0.0546, 0.2777, 0.0413
0.7200,0.1176, 0.3221, 0.0095, 0.0275, 0.3151, 0.9156, -0.4669, 0.8684, -0.3267, 3.1142, -0.0174, -0.0026, 0.1517, -0.3232, -0.0481, 0.2792, 0.0428
0.7500,0.1342, 0.3408, 0.0101, 0.0283, 0.3615, 0.9711, -0.4219, 0.9231, -0.3271, 3.1003, -0.0161, -0.0025, 0.1551, -0.3226, -0.0505, 0.2803, 0.0438
0.7800,0.1516, 0.3587, 0.0108, 0.0291, 0.3596, 0.9688, -0.4250, 0.9190, -0.2743, 3.2572, -0.0149, -0.0023, 0.1589, -0.2710, -0.0424, 0.2814, 0.0452
0.8100,0.1516, 0.3587, 0.0115, 0.0299, 0.4084, 1.0217, -0.3780, 0.9705, -0.2706, 3.2523, -0.0133, -0.0022, 0.1626, -0.2668, -0.0438, 0.2827, 0.0464
0.8400,0.1700, 0.3756, 0.0130, 0.0314, 0.4596, 1.0719, -0.3258, 1.0215, -0.2159, 3.3962, -0.0120, -0.0020, 0.1662, -0.2131, -0.0350, 0.2839, 0.0477
0.8700,0.1700, 0.3756, 0.0137, 0.0321, 0.4553, 1.0671, -0.3401, 1.0068, -0.1409, 3.5431, -0.0073, -0.0013, 0.1770, -0.1463, -0.0256, 0.2880, 0.0515
